AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,D_1,R_12,C_1,Info,Años,Giro,Puesto,Estado
4,3,3,4,4,3,2,3,3,4,4,4,8,9,4,8,4,Educación,Coordinador,Ciudad de México
3,4,4,4,3,3,4,4,4,5,5,4,7,8,3,9,1,Asociación civil,Coordinador,Nuevo León
1,1,1,1,1,2,1,1,3,4,3,1,7,8,1,9,2,Educación,Coordinador,Sonora
4,3,4,4,4,4,4,4,4,4,4,4,9,9,4,9,10,Educación,Director,Sonora
3,4,3,3,4,4,3,3,4,4,3,3,8,8,4,7,2,Educación,Persona física,Coahuila
4,4,3,3,4,4,3,3,4,4,3,3,7,8,3,7,7,Persona física,Dueño,Ciudad de México
5,3,3,2,3,2,3,2,2,3,3,4,6,9,3,8,2,Persona física,Persona física,Sonora
4,3,3,3,3,3,3,2,4,4,3,3,8,8,4,8,10,Educación,Director,Estado de México
4,4,4,4,3,3,4,4,4,3,4,3,6,8,4,6,1,Asociación civil,Coordinador,Michoacán
5,3,4,4,3,3,4,4,4,4,5,4,8,8,4,8,1,Gubernamental,Director,Guerrero
4,3,3,2,3,3,4,3,4,5,3,3,8,8,3,8,10,Educación,Coordinador,Ciudad de México
3,4,4,4,4,4,4,4,4,4,4,4,9,8,5,8,1,Educación,Coordinador,Ciudad de México
4,4,3,3,4,3,3,4,3,5,4,3,8,8,3,8,1,Empresa,Gerente,Baja California Norte
4,3,3,3,4,4,3,3,4,4,5,5,7,9,4,9,4,Gubernamental,Director,Michoacán
3,4,4,4,4,3,4,4,4,5,4,4,9,8,3,8,12,Educación,Coordinador,Ciudad de México
2,4,4,3,4,4,4,3,4,4,3,4,9,8,3,8,3,Educación,Director,Sonora
4,3,3,3,4,4,3,4,4,5,5,4,9,8,4,8,1,Persona física,Persona física,Estado de México
4,3,3,3,4,3,3,3,4,4,4,4,8,8,4,8,1,Persona física,Persona física,Estado de México
3,5,3,4,4,4,4,4,4,4,3,4,8,8,4,8,1,Asociación civil,Director,Tabasco
3,3,3,3,4,4,3,3,4,4,3,4,7,9,3,7,1,Educación,Persona física,Querétaro
4,3,4,4,4,3,4,4,4,3,4,3,8,8,5,9,1,Empresa,Dueño,Chiapas
3,4,4,4,4,4,3,4,5,5,5,3,8,8,4,9,2,Educación,Director,Querétaro
4,4,4,4,3,3,3,3,4,4,5,3,8,9,4,8,2,Educación,Asistente,Chiapas
3,4,3,3,3,3,4,3,4,4,4,3,7,8,3,8,2,Empresa,Gerente,Querétaro
4,3,3,3,3,4,3,3,3,4,4,3,7,9,4,8,1,Asociación civil,Dueño,Querétaro
3,4,4,3,3,3,4,4,3,3,4,4,8,8,4,9,1,Empresa,Dueño,Chiapas
4,4,4,4,4,3,3,4,4,4,4,4,8,9,4,8,1,Educación,Asistente,Querétaro
4,3,3,4,3,4,3,4,4,4,3,3,9,9,3,8,5,Educación,Director,Querétaro
3,3,4,4,3,3,3,4,4,4,4,4,7,8,3,7,2,Empresa,Coordinador,Querétaro
4,3,4,4,4,3,4,3,4,5,4,4,8,8,4,7,2,Educación,Director,Querétaro
4,4,3,5,4,4,4,4,4,5,4,3,8,9,3,8,1,Asociación civil,Dueño,Querétaro
4,4,3,4,3,4,5,4,4,3,4,4,8,8,4,8,8,Asociación civil,Asistente,Chiapas
4,3,3,4,4,3,4,3,4,3,4,4,9,8,3,7,4,Educación,Director,Chiapas
3,3,3,4,4,4,2,4,5,4,5,3,8,9,4,8,10,Educación,Director,Querétaro
4,3,4,3,4,5,2,4,4,3,4,3,8,8,4,9,4,Empresa,Gerente,Querétaro
4,4,4,5,4,3,3,3,5,4,3,3,7,8,3,7,2,Educación,Coordinador,Sonora
4,4,4,4,3,4,3,3,4,5,5,4,7,8,3,7,10,Empresa,Gerente,Estado de México
3,4,3,4,3,4,3,3,4,4,4,4,8,9,4,8,10,Educación,Director,Jalisco
4,3,4,5,3,4,3,4,4,4,4,4,8,9,4,8,18,Educación,Coordinador,Jalisco
4,3,3,4,4,3,4,3,4,3,5,4,8,8,3,8,10,Educación,Coordinador,Jalisco
2,3,2,2,3,2,2,3,4,3,3,3,6,8,2,7,3,Asociación civil,Coordinador,Jalisco
5,4,4,4,4,5,3,4,4,5,4,4,8,8,4,8,3,Educación,Asistente,Jalisco
5,4,5,4,4,4,5,5,4,4,5,4,9,9,5,9,10,Educación,Director,Baja California Norte
4,3,4,5,5,3,4,4,5,5,5,4,7,9,3,8,1,Educación,Director,Veracruz
4,3,4,3,3,4,4,4,5,5,5,4,8,8,4,9,1,Educación,Coordinador,Jalisco
3,4,4,5,4,4,4,5,5,4,4,4,9,9,4,9,1,Gubernamental,Coordinador,Veracruz
4,4,4,3,4,3,3,3,5,4,4,4,8,8,4,8,1,Educación,Director,Veracruz
4,3,3,4,4,4,3,4,4,5,3,4,8,9,3,8,1,Persona física,Persona física,Sinaloa
5,2,3,2,3,3,2,4,4,4,3,4,8,9,4,8,1,Educación,Dueño,Veracruz
4,4,3,4,4,4,4,4,5,4,4,3,9,9,5,9,1,Persona física,Persona física,Sinaloa
4,3,3,3,3,4,4,5,4,5,5,4,8,8,4,8,1,Empresa,Coordinador,Tamaulipas
4,3,4,3,3,3,4,4,4,4,4,4,8,9,4,8,3,Educación,Director,Jalisco
3,2,5,4,4,3,3,4,4,4,4,4,8,9,4,9,4,Educación,Dueño,Jalisco
2,3,3,2,3,4,4,3,4,4,3,4,8,8,4,8,2,Persona física,Persona física,Veracruz
4,2,5,5,4,3,3,4,3,4,3,5,8,8,4,8,1,Persona física,Gerente,Querétaro
5,2,5,5,3,4,3,4,5,4,4,5,9,8,4,8,1,Persona física,Persona física,Ciudad de México
5,3,4,4,3,3,3,4,4,4,4,5,8,8,3,8,20,Educación,Asistente,Veracruz
4,3,4,4,4,4,4,4,4,4,4,4,8,8,4,8,1,Educación,Coordinador,Veracruz
4,4,3,4,4,4,5,5,3,4,4,4,8,8,4,8,1,Educación,Director,Veracruz
4,4,4,4,3,4,4,5,5,4,5,4,8,8,4,9,8,Educación,Coordinador,Querétaro
5,3,3,3,3,4,4,4,4,3,4,4,8,9,4,9,4,Persona física,Persona física,Veracruz
4,4,3,3,3,4,4,5,4,4,3,4,7,9,3,8,2,Empresa,Gerente,Estado de México
3,3,3,3,3,4,4,3,5,4,5,4,8,8,3,8,6,Gubernamental,Asistente,Colima
4,3,3,4,4,4,4,4,5,4,4,4,8,8,4,9,2,Educación,Coordinador,Jalisco
5,3,3,3,4,3,3,3,4,4,4,3,7,8,3,8,2,Gubernamental,Coordinador,Coahuila
4,4,4,4,4,5,3,4,4,5,4,4,8,9,4,8,3,Teletón (Grupos internos de la Fundación),Persona física,Tamaulipas
5,3,5,4,4,4,5,5,4,4,5,4,9,9,5,9,6,Teletón (Grupos internos de la Fundación),Persona física,Tamaulipas
4,4,4,5,5,3,4,4,5,5,5,4,7,9,3,8,2,Persona física,Persona física,Tamaulipas
4,4,4,3,3,4,4,4,5,5,5,4,8,8,4,9,3,Teletón (Grupos internos de la Fundación),Persona física,Tamaulipas
3,3,4,5,4,4,4,5,5,4,4,4,9,9,4,9,16,Persona física,Persona física,Coahuila
3,3,4,3,4,3,3,3,5,4,4,4,8,8,4,8,1,Teletón (Grupos internos de la Fundación),Asistente,Tamaulipas
4,4,3,4,4,4,3,4,4,5,3,4,8,9,3,8,9,Persona física,Persona física,Tamaulipas
5,3,4,3,4,4,4,3,4,4,3,4,9,8,3,7,3,Persona física,Persona física,Tamaulipas
4,4,3,3,4,4,3,4,4,5,5,4,9,8,4,8,2,Teletón (Grupos internos de la Fundación),Persona física,Tamaulipas
5,4,3,3,4,3,3,3,4,4,4,4,8,8,4,8,5,Persona física,Asistente,Tamaulipas
4,4,3,4,4,4,4,4,4,4,3,4,8,8,4,8,10,Asociación civil,Persona física,Yucatán
4,3,3,3,4,4,3,3,4,4,3,4,7,9,3,7,1,Teletón (Grupos internos de la Fundación),Asistente,Tamaulipas
3,4,4,4,4,3,4,4,5,4,4,3,8,8,5,9,2,Persona física,Persona física,Tamaulipas
2,3,4,3,4,4,4,3,5,4,5,4,9,8,3,8,6,Educación,Coordinador,Coahuila
4,4,3,3,4,4,3,4,4,5,5,4,9,8,4,8,1,Persona física,Coordinador,Veracruz
3,4,3,3,4,3,3,3,4,4,4,4,8,8,4,8,2,Educación,Supervisor,Veracruz
5,4,3,4,4,4,4,4,4,4,5,4,8,8,4,8,1,Teletón (Grupos internos de la Fundación),Persona física,Sinaloa
4,4,3,3,4,4,3,3,4,4,5,4,7,9,3,7,3,Gubernamental,Coordinador,Durango
5,3,4,4,4,3,4,4,4,4,4,3,8,8,5,9,10,Asociación civil,Director,Jalisco
5,4,4,5,4,3,3,3,4,4,3,3,7,9,3,7,1,Educación,Persona física,Veracruz
4,3,4,4,3,4,3,3,5,4,5,4,7,8,3,7,20,Educación,Persona física,Guanajuato
3,4,3,4,3,4,3,3,4,4,4,4,8,9,4,8,1,Persona física,Persona física,Sinaloa
2,4,4,5,3,4,3,4,4,4,4,4,8,9,4,8,1,Asociación civil,Dueño,Chiapas
4,3,3,4,4,3,4,3,4,5,4,4,8,9,3,8,3,Educación,Coordinador,Durango
4,3,2,2,3,2,2,3,3,2,2,3,6,8,2,7,8,Educación,Coordinador,Coahuila
5,4,4,4,4,5,3,4,4,5,4,4,8,9,4,8,2,Persona física,Gerente,Jalisco
4,4,5,4,4,4,5,5,4,4,5,4,9,9,5,9,1,Teletón (Grupos internos de la Fundación),Persona física,Tamaulipas
4,4,4,4,3,3,4,3,4,3,3,4,7,8,3,8,4,Gubernamental,Coordinador,Quintana Roo
4,3,3,4,4,3,3,3,3,4,4,3,7,8,3,7,8,Asociación civil,Director,Quintana Roo
5,4,4,3,3,4,4,4,3,3,4,3,7,8,4,8,6,Educación,Coordinador,Quintana Roo
5,3,4,4,4,4,4,3,4,4,3,3,7,8,3,9,2,Empresa,Coordinador,Jalisco
3,5,3,4,4,3,3,3,3,4,4,3,7,8,3,7,3,Empresa,Coordinador,Quintana Roo
2,3,3,3,3,3,4,5,4,4,4,5,7,9,4,9,20,Persona física,Persona física,Quintana Roo
4,3,3,4,4,4,4,3,3,3,4,3,8,8,3,7,1,Educación,Coordinador,Quintana Roo
4,3,4,4,3,3,2,3,3,4,4,4,9,9,4,9,5,Persona física,Coordinador,Quintana Roo
4,4,3,4,4,3,2,3,3,4,4,4,8,9,4,8,1,Teletón (Grupos internos de la Fundación),Persona física,Tamaulipas
3,4,4,4,3,3,4,4,4,5,4,4,7,8,3,9,13,Persona física,Persona física,Sinaloa
3,4,3,4,3,4,4,3,3,4,4,3,8,9,4,8,1,Empresa,Gerente,Quintana Roo
4,3,4,3,3,4,4,3,4,4,3,2,7,8,2,8,2,Educación,Coordinador,Quintana Roo
4,3,3,3,3,4,4,4,4,4,4,3,8,8,3,7,5,Gubernamental,Coordinador,Colima
5,3,3,4,4,3,3,3,4,4,4,3,7,8,3,7,15,Educación,Dueño,Ciudad de México
4,4,4,3,3,4,4,4,5,4,4,3,7,8,4,8,10,Gubernamental,Director,Coahuila
4,4,3,4,4,4,4,3,5,4,4,4,8,8,4,8,1,Educación,Director,Jalisco
4,3,3,3,4,4,5,4,3,4,4,3,8,8,4,8,1,Educación,Director,Sinaloa
3,3,3,2,3,5,5,4,4,4,5,3,7,9,3,8,10,Educación,Coordinador,Chihuahua
5,3,4,3,3,3,3,4,4,4,5,3,6,9,3,7,2,Educación,Coordinador,Chihuahua
2,4,3,4,4,4,4,4,4,3,5,4,8,8,4,8,1,Educación,Coordinador,Chihuahua
5,4,4,3,4,4,3,3,4,3,4,4,8,8,3,6,1,Persona física,Persona física,Yucatán
1,3,4,4,4,4,4,3,4,4,5,3,7,8,3,9,1,Educación,Coordinador,Chihuahua
4,4,4,3,3,3,4,4,5,3,5,4,8,8,3,8,15,Educación,Coordinador,Chihuahua
4,3,3,3,3,4,4,3,3,4,3,3,7,9,3,8,2,Empresa,Coordinador,Chihuahua
4,3,3,4,4,4,4,4,5,4,5,4,8,8,4,8,10,Educación,Coordinador,Chiapas
5,4,3,3,4,4,3,3,4,4,3,4,7,8,3,7,2,Empresa,Persona física,Chihuahua
5,4,4,4,4,3,4,4,3,4,4,3,8,8,5,9,10,Educación,Supervisor,Chihuahua
4,5,4,5,4,3,3,3,3,4,3,3,7,9,3,7,10,Persona física,Persona física,Sinaloa
3,4,4,4,3,4,3,3,5,4,4,4,7,9,3,7,1,Empresa,Coordinador,Chihuahua
4,5,3,4,3,4,3,3,4,4,4,4,8,9,4,8,4,Educación,Coordinador,Chihuahua
5,3,4,5,3,4,3,4,5,4,5,4,8,9,4,8,4,Gubernamental,Asistente,Chiapas
4,3,3,4,4,3,4,3,4,3,3,4,8,9,3,6,1,Teletón (Grupos internos de la Fundación),Coordinador,Chiapas
5,4,2,2,3,2,2,3,4,3,5,3,6,8,2,7,6,Educación,Coordinador,Chihuahua
4,4,4,4,4,5,3,4,4,5,4,4,8,9,4,8,9,Educación,Persona física,Tabasco
4,3,5,4,4,4,5,5,4,4,5,4,9,9,5,9,3,Teletón (Grupos internos de la Fundación),Persona física,Tamaulipas
4,4,4,4,3,3,4,3,5,3,4,4,7,8,3,8,2,Empresa,Coordinador,Quintana Roo
3,4,3,4,4,3,4,4,3,4,4,4,6,9,3,7,10,Educación,Coordinador,Chiapas
4,3,4,4,3,3,4,4,3,3,3,4,8,8,4,8,1,Empresa,Gerente,Jalisco
4,4,4,4,4,4,4,3,4,4,3,4,8,8,4,7,13,Educación,Coordinador,Jalisco
4,4,3,3,4,3,3,4,5,3,5,4,7,8,4,8,3,Empresa,Supervisor,Chihuahua
5,4,5,4,4,5,4,4,3,4,4,5,9,9,5,9,1,Teletón (Grupos internos de la Fundación),Persona física,Yucatán
4,3,4,5,4,5,4,5,5,5,5,5,10,10,5,9,3,Educación,Asistente,Aguascalientes
3,3,5,5,5,3,5,4,4,4,5,4,9,9,5,10,2,Educación,Persona física,Yucatán
3,4,4,4,4,3,3,5,5,5,4,4,8,9,5,9,1,Empresa,Supervisor,Guerrero
4,4,3,4,4,3,3,4,4,4,4,5,8,8,4,8,1,Educación,Asistente,Guerrero
4,3,4,4,3,3,4,4,4,5,4,4,8,9,5,9,2,Empresa,Gerente,Guerrero
3,4,2,2,1,2,1,1,1,2,4,2,8,8,2,6,2,Teletón (Grupos internos de la Fundación),Asistente,Tamaulipas
4,3,3,3,4,4,3,4,3,2,4,4,6,9,3,7,1,Teletón (Grupos internos de la Fundación),Asistente,Guerrero
4,4,3,4,4,4,3,4,4,5,5,4,8,8,3,8,1,Educación,Asistente,Guerrero
5,3,4,3,4,4,4,3,4,4,5,4,9,10,3,8,2,Empresa,Gerente,Guerrero
4,3,3,3,4,4,3,4,4,5,5,4,9,8,4,8,21,Persona física,Persona física,Chiapas
4,5,3,3,4,3,3,3,4,4,4,4,8,8,4,8,11,Educación,Director,Chiapas
4,2,3,4,4,4,4,4,4,4,5,4,8,8,4,8,1,Teletón (Grupos internos de la Fundación),Asistente,Tamaulipas
3,3,3,3,4,4,3,3,4,4,5,4,7,8,3,7,2,Empresa,Gerente,Querétaro
3,5,4,4,4,3,4,4,5,4,5,3,8,8,5,9,1,Empresa,Coordinador,Quintana Roo
2,4,4,3,4,4,4,3,4,4,5,4,9,9,3,8,2,Persona física,Persona física,Sinaloa
